Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy
6,1,0.3787721589700118,88.61166666666666,89.23
7,1,0.3671518536741291,88.91833333333334,89.63
8,1,0.35753796847739705,89.20833333333333,89.91
9,1,0.34881735334137104,89.48,90.09
10,1,0.34118208212098844,89.70333333333333,90.19
11,1,0.3345666206372318,89.91833333333334,90.62
12,1,0.32820289852872075,90.09,90.67
13,1,0.3228444427823715,90.26333333333334,90.92
14,1,0.31687999643814335,90.445,91.1
15,1,0.31186055384481004,90.62,91.13
16,1,0.3069881562119735,90.725,91.46
17,1,0.3022576454621769,90.845,91.42
18,1,0.297711558123705,90.985,91.44
19,1,0.29353830662331604,91.13,91.65
20,1,0.2890567869059186,91.22833333333334,91.78
21,1,0.2851516299648707,91.33666666666667,91.98
22,1,0.28123264227594647,91.49833333333333,92.1
23,1,0.27710647132001454,91.55666666666667,92.25
24,1,0.27343632915079086,91.74166666666666,92.38
25,1,0.26977442085806497,91.84833333333333,92.43
26,1,0.26596935664508137,91.95833333333333,92.58
27,1,0.26248655328427806,92.02166666666666,92.77
28,1,0.2589038767651327,92.16,92.82
29,1,0.25571980615700485,92.23833333333333,92.83
30,1,0.2521706445734384,92.34166666666667,93.0
31,1,0.24879838830467735,92.47166666666666,93.02
32,1,0.24564089551806323,92.57166666666667,93.09
33,1,0.24233653758968243,92.71833333333333,93.27
34,1,0.23927230884366707,92.78,93.36
35,1,0.23632925435868915,92.86333333333333,93.41
36,1,0.23344123538241965,92.96,93.48
37,1,0.2304286818419184,93.03333333333333,93.59
38,1,0.2277743473633139,93.14333333333333,93.71
39,1,0.22486466934272983,93.23666666666666,93.69
40,1,0.22232735229294692,93.28333333333333,93.8
41,1,0.2196785369947521,93.345,93.86
42,1,0.217085972134429,93.45,93.96
43,1,0.21449817389821701,93.555,94.12
44,1,0.21217810488871927,93.59833333333333,94.05
45,1,0.20972801898238755,93.67166666666667,94.15
46,1,0.2077701710609358,93.795,94.22
47,1,0.20523686605745922,93.77833333333334,94.28
48,1,0.20304695021972727,93.875,94.36
49,1,0.20098472348074797,93.955,94.27
50,1,0.19915232046850836,94.02,94.51
51,1,0.19700047756626662,94.06666666666666,94.59
52,1,0.1950705835937278,94.10333333333334,94.67
53,1,0.1931677858418684,94.20833333333333,94.67
54,1,0.19144378190657604,94.23333333333333,94.71
55,1,0.18941819146354952,94.26833333333333,94.79
56,1,0.18759962957678064,94.35166666666667,94.79
57,1,0.18591218604160142,94.425,94.83
58,1,0.18437920895212495,94.47333333333333,94.92
59,1,0.1826676184386968,94.485,94.88
60,1,0.18102575682882052,94.58666666666667,95.0
61,1,0.17957185512221951,94.60166666666667,95.02
62,1,0.17838506560637626,94.63,95.07
63,1,0.17675774512506687,94.70166666666667,95.13
64,1,0.1749408101674908,94.765,95.13
65,1,0.1737301549348019,94.78833333333333,95.16
66,1,0.1723493236317627,94.81833333333333,95.2
67,1,0.170956900075221,94.86166666666666,95.23
68,1,0.1696974567528854,94.93166666666667,95.15
69,1,0.1681986940281986,94.97333333333333,95.21
70,1,0.16698942331076938,95.005,95.37
71,1,0.16578251383563222,95.015,95.34
72,1,0.1645594105573256,95.04666666666667,95.28
73,1,0.16335602221029527,95.11,95.4
74,1,0.16227294530655975,95.11833333333334,95.4
75,1,0.16110943957988513,95.18166666666667,95.43
76,1,0.1600734648435736,95.21,95.5
77,1,0.15897389966001643,95.24833333333333,95.54
78,1,0.1579204683027256,95.29166666666667,95.52
79,1,0.15692698982542258,95.32666666666667,95.64
80,1,0.15603588995283474,95.33666666666667,95.56
81,1,0.15494821744679071,95.355,95.62
82,1,0.15398761744438205,95.39666666666666,95.64
83,1,0.1531098262369156,95.415,95.61
84,1,0.1520406150145889,95.44333333333333,95.69
85,1,0.15106610283811592,95.50833333333334,95.81
86,1,0.1501233910919348,95.52166666666666,95.78
87,1,0.14906789720662114,95.545,95.8
88,1,0.1482919818207399,95.565,95.86
89,1,0.14730925589347127,95.62333333333333,95.89
90,1,0.14651148795072777,95.63833333333334,95.84
91,1,0.1458655797254874,95.64666666666666,95.84
92,1,0.14499977124985983,95.7,95.99
93,1,0.14411611842122604,95.71833333333333,96.0
94,1,0.14323863415702828,95.735,95.99
95,1,0.14252807441026544,95.78,95.93
96,1,0.14182267608895485,95.76833333333333,96.05
97,1,0.1411561100368402,95.79833333333333,96.07
98,1,0.14020755828451564,95.84166666666667,96.07
99,1,0.1396814467194778,95.82833333333333,96.06
100,1,0.13889029500946434,95.88166666666666,96.1
